aircraft_id,tail_number,aircraft_type,operator,fleet_id,entry_service_date,manufacturer,total_flight_hours,base_airport,active
1,N562HH,B737-800,Delta Air Lines,FLEET-009,2013-06-24,Boeing,8601,ORD,True
2,N883NB,B737-900,Spirit Airlines,FLEET-019,2018-07-22,Boeing,16513,DFW,True
3,N963AR,MD-11F,Southwest Airlines,FLEET-020,2019-01-03,Boeing,11662,LAX,True
4,N228OS,A321-200,Spirit Airlines,FLEET-008,2013-07-13,Airbus,32356,JFK,True
5,N719KI,B757-200,American Airlines,FLEET-014,2014-12-20,Boeing,44673,ORD,True
6,N210MD,B737-900,UPS Airlines,FLEET-003,2018-05-25,Boeing,23324,SEA,True
7,N556XO,B777-200,Frontier Airlines,FLEET-002,2018-02-15,Boeing,2961,BOS,True
8,N674JU,B737-900,Alaska Airlines,FLEET-018,2017-06-11,Boeing,17860,MSP,True
9,N437WC,B747-400F,UPS Airlines,FLEET-007,2015-11-19,Boeing,48118,DFW,True
10,N224DM,B737-900,FedEx Express,FLEET-008,2011-10-17,Boeing,5030,JFK,True
11,N608LG,B757-200,UPS Airlines,FLEET-012,2011-03-01,Boeing,58660,JFK,True
12,N966RX,B747-400F,Delta Air Lines,FLEET-006,2020-04-12,Boeing,35743,LAX,True
13,N153HV,B777-200,Alaska Airlines,FLEET-018,2017-02-02,Boeing,28142,SEA,True
14,N351ZK,B767-300,American Airlines,FLEET-002,2017-07-12,Boeing,7953,DEN,True
15,N218GU,B747-400F,Southwest Airlines,FLEET-011,2015-11-17,Boeing,21448,MIA,True
16,N505EH,B757-200,JetBlue Airways,FLEET-009,2013-05-29,Boeing,9640,BOS,True
17,N172ML,A321-200,Frontier Airlines,FLEET-019,2017-08-03,Airbus,21354,LAX,False
18,N542CY,MD-11F,United Airlines,FLEET-016,2010-04-09,Boeing,56144,DFW,True
19,N873TC,B757-200,United Airlines,FLEET-014,2017-10-17,Boeing,52655,DEN,True
20,N121RA,MD-11F,JetBlue Airways,FLEET-009,2020-01-03,Boeing,46410,ATL,True
21,N918DJ,B777-200,Spirit Airlines,FLEET-011,2019-05-01,Boeing,2744,DEN,True
22,N264YF,B777-200,American Airlines,FLEET-017,2020-06-12,Boeing,28051,BOS,True
23,N467GE,MD-11F,FedEx Express,FLEET-020,2016-04-10,Boeing,26362,SEA,True
24,N139TK,MD-11F,Spirit Airlines,FLEET-001,2014-03-16,Boeing,33700,MIA,True
25,N633BH,B777-200,UPS Airlines,FLEET-008,2019-11-28,Boeing,54495,MSP,False
26,N317YR,A330-300,Delta Air Lines,FLEET-003,2020-07-05,Airbus,33809,ORD,True
27,N251IQ,MD-11F,JetBlue Airways,FLEET-006,2013-04-13,Boeing,48858,MSP,True
28,N176WJ,MD-11F,Southwest Airlines,FLEET-007,2019-05-08,Boeing,54249,DEN,False
29,N732OD,A330-300,UPS Airlines,FLEET-017,2011-09-28,Airbus,44481,LAX,True
30,N191RH,B737-800,UPS Airlines,FLEET-019,2012-10-17,Boeing,19267,MSP,True
31,N937CB,B737-800,Delta Air Lines,FLEET-008,2018-07-03,Boeing,47826,SEA,True
32,N897GR,B777-200,Southwest Airlines,FLEET-016,2013-03-11,Boeing,59756,ORD,True
33,N338HZ,B747-400F,Frontier Airlines,FLEET-016,2014-09-08,Boeing,21107,MIA,True
34,N199VN,B737-900,Southwest Airlines,FLEET-004,2010-08-10,Boeing,5994,SEA,True
35,N826BM,B737-800,JetBlue Airways,FLEET-004,2017-02-22,Boeing,44855,SEA,True
36,N677GR,B767-300,Delta Air Lines,FLEET-007,2015-03-17,Boeing,20502,MIA,True
37,N581HC,B777-200,United Airlines,FLEET-015,2010-11-08,Boeing,9770,MIA,True
38,N235UR,B737-900,Spirit Airlines,FLEET-002,2020-07-21,Boeing,46196,DFW,False
39,N571PP,B757-200,Southwest Airlines,FLEET-014,2017-12-07,Boeing,44106,LAX,True
40,N138AM,B757-200,American Airlines,FLEET-013,2011-06-01,Boeing,31593,JFK,True
41,N982WX,B777-200,JetBlue Airways,FLEET-014,2015-12-25,Boeing,37732,BOS,True
42,N777JG,B757-200,JetBlue Airways,FLEET-007,2017-12-28,Boeing,57083,DFW,True
43,N574BB,B737-800,Spirit Airlines,FLEET-011,2016-10-01,Boeing,29978,MSP,True
44,N632QC,B757-200,Spirit Airlines,FLEET-002,2012-01-12,Boeing,50081,ORD,True
45,N308DS,B767-300,Delta Air Lines,FLEET-013,2015-01-29,Boeing,41161,LAX,True
46,N625NV,B747-400F,American Airlines,FLEET-003,2016-09-23,Boeing,19392,MSP,True
47,N240VW,B777-200,UPS Airlines,FLEET-007,2012-09-17,Boeing,38233,SEA,True
48,N785OK,B757-200,Alaska Airlines,FLEET-010,2016-11-29,Boeing,25133,ATL,True
49,N105CR,B747-400F,Frontier Airlines,FLEET-004,2017-05-01,Boeing,46704,LAX,True
50,N832HL,A320-200,United Airlines,FLEET-003,2015-02-12,Airbus,43808,JFK,True
51,N139ZU,B777-200,Spirit Airlines,FLEET-020,2020-07-01,Boeing,21772,BOS,True
52,N763EI,B777-200,Spirit Airlines,FLEET-004,2019-04-09,Boeing,39647,ATL,True
53,N251JT,B757-200,Spirit Airlines,FLEET-009,2016-03-23,Boeing,43854,LAX,True
54,N237PI,B777-200,Southwest Airlines,FLEET-017,2012-09-25,Boeing,7325,DFW,True
55,N464AK,B777-200,Alaska Airlines,FLEET-002,2016-06-01,Boeing,14966,ORD,True
56,N561RW,B757-200,FedEx Express,FLEET-015,2014-07-08,Boeing,11318,DEN,True
57,N378RB,B737-900,Delta Air Lines,FLEET-005,2018-05-21,Boeing,49867,SEA,True
58,N398BJ,A321-200,United Airlines,FLEET-005,2012-12-21,Airbus,51091,SEA,True
59,N916VH,A320-200,American Airlines,FLEET-007,2017-03-12,Airbus,57860,ATL,True
60,N221XE,A321-200,Spirit Airlines,FLEET-020,2011-08-18,Airbus,28254,LAX,True
61,N706FX,A321-200,United Airlines,FLEET-001,2013-10-05,Airbus,16018,SEA,True
62,N212FZ,B767-300,Alaska Airlines,FLEET-009,2012-07-24,Boeing,41581,ATL,True
63,N868GO,A330-300,American Airlines,FLEET-008,2017-12-17,Airbus,31350,SEA,True
64,N579VG,B767-300,Southwest Airlines,FLEET-001,2017-10-26,Boeing,8772,DEN,True
65,N780UQ,B777-200,Delta Air Lines,FLEET-012,2019-08-16,Boeing,15270,DEN,True
66,N976DI,A320-200,Spirit Airlines,FLEET-001,2017-01-29,Airbus,20904,ORD,True
67,N655TN,B737-800,FedEx Express,FLEET-004,2011-12-21,Boeing,25598,SEA,True
68,N917QD,A321-200,UPS Airlines,FLEET-020,2020-06-05,Airbus,43144,DEN,True
69,N672WN,B777-200,Southwest Airlines,FLEET-002,2018-12-07,Boeing,22525,DFW,True
70,N407NC,B767-300,Spirit Airlines,FLEET-012,2014-08-18,Boeing,2082,SEA,True
71,N491JV,B777-200,Delta Air Lines,FLEET-017,2020-03-21,Boeing,55663,DEN,True
72,N790GN,MD-11F,FedEx Express,FLEET-005,2011-03-18,Boeing,33371,DEN,True
73,N803JM,B747-400F,United Airlines,FLEET-019,2016-03-16,Boeing,4741,BOS,True
74,N954NZ,B777-200,FedEx Express,FLEET-007,2018-11-12,Boeing,50839,MSP,True
75,N555OV,A330-300,UPS Airlines,FLEET-015,2012-11-06,Airbus,30643,LAX,True
76,N417QV,B737-900,United Airlines,FLEET-010,2012-11-10,Boeing,38231,MSP,True
77,N502ZG,B777-200,Southwest Airlines,FLEET-008,2010-08-01,Boeing,52289,ORD,True
78,N638YC,A330-300,Southwest Airlines,FLEET-020,2020-06-11,Airbus,43863,MIA,True
79,N106PM,B767-300,Frontier Airlines,FLEET-013,2020-08-14,Boeing,25144,LAX,True
80,N750HF,B737-900,American Airlines,FLEET-014,2020-06-14,Boeing,43146,BOS,True
81,N100OE,B767-300,Spirit Airlines,FLEET-004,2015-02-25,Boeing,12985,MIA,True
82,N141YO,B747-400F,Spirit Airlines,FLEET-011,2018-03-06,Boeing,34131,MSP,True
83,N527OF,A321-200,Spirit Airlines,FLEET-018,2015-09-25,Airbus,43206,MIA,True
84,N896PU,B777-200,Southwest Airlines,FLEET-017,2014-03-03,Boeing,6939,LAX,True
85,N447IK,B777-200,Delta Air Lines,FLEET-008,2016-11-25,Boeing,22576,SEA,True
86,N300HM,B757-200,Delta Air Lines,FLEET-005,2016-06-18,Boeing,14546,ORD,True
87,N536KR,A321-200,Delta Air Lines,FLEET-014,2012-10-04,Airbus,37356,MIA,True
88,N992YS,A321-200,Southwest Airlines,FLEET-013,2015-09-01,Airbus,4489,DFW,True
89,N254AL,A321-200,Frontier Airlines,FLEET-016,2017-09-03,Airbus,52583,JFK,True
90,N601ZT,MD-11F,Alaska Airlines,FLEET-018,2016-01-30,Boeing,50761,LAX,True
91,N338AM,A321-200,FedEx Express,FLEET-016,2012-02-27,Airbus,2970,SEA,True
92,N847ET,B757-200,Alaska Airlines,FLEET-015,2013-07-30,Boeing,6537,BOS,True
93,N177VA,B747-400F,Alaska Airlines,FLEET-019,2017-07-29,Boeing,37697,ATL,True
94,N806BI,A330-300,United Airlines,FLEET-006,2010-11-24,Airbus,6764,DEN,True
95,N737YM,A320-200,JetBlue Airways,FLEET-011,2010-11-04,Airbus,27475,JFK,True
96,N696PA,B777-200,Alaska Airlines,FLEET-003,2016-09-04,Boeing,19416,BOS,True
97,N537YU,B767-300,UPS Airlines,FLEET-003,2010-06-19,Boeing,42393,DFW,True
98,N590TE,B767-300,Southwest Airlines,FLEET-001,2011-05-23,Boeing,6931,LAX,True
99,N894OW,B747-400F,Delta Air Lines,FLEET-007,2020-04-01,Boeing,28223,JFK,True
100,N764XW,B747-400F,United Airlines,FLEET-020,2014-07-19,Boeing,54934,ATL,True
101,N132SA,B777-200,United Airlines,FLEET-004,2018-06-12,Boeing,48739,JFK,True
102,N592CS,A321-200,Alaska Airlines,FLEET-007,2014-04-30,Airbus,32711,LAX,True
103,N960ZS,B747-400F,FedEx Express,FLEET-004,2018-02-02,Boeing,25782,DFW,True
104,N574QU,A320-200,Alaska Airlines,FLEET-003,2010-09-13,Airbus,45035,SEA,True
105,N538NL,A330-300,Alaska Airlines,FLEET-004,2020-10-02,Airbus,35392,MIA,True
106,N753UI,B757-200,Alaska Airlines,FLEET-017,2020-11-25,Boeing,24658,MSP,True
107,N766NX,A330-300,Spirit Airlines,FLEET-015,2015-03-19,Airbus,53951,MSP,True
108,N876OH,B737-900,Southwest Airlines,FLEET-009,2012-02-26,Boeing,14568,MIA,True
109,N489PK,A320-200,Alaska Airlines,FLEET-001,2012-04-24,Airbus,13604,ORD,True
110,N797IT,B777-200,UPS Airlines,FLEET-011,2018-05-25,Boeing,16103,JFK,True
111,N825HX,B767-300,Spirit Airlines,FLEET-003,2010-06-21,Boeing,42275,DEN,True
112,N976OZ,A330-300,Southwest Airlines,FLEET-016,2019-07-22,Airbus,7224,DFW,True
113,N551JV,A321-200,Southwest Airlines,FLEET-008,2012-09-23,Airbus,57591,MSP,True
114,N490NX,MD-11F,Spirit Airlines,FLEET-012,2019-03-13,Boeing,53808,BOS,True
115,N573IH,B777-200,JetBlue Airways,FLEET-010,2018-07-14,Boeing,9828,ATL,True
116,N717YW,B737-900,UPS Airlines,FLEET-018,2014-01-06,Boeing,7074,ORD,True
117,N676YQ,B777-200,JetBlue Airways,FLEET-019,2010-11-23,Boeing,53583,MSP,True
118,N795HL,B767-300,Delta Air Lines,FLEET-010,2018-06-02,Boeing,53691,ORD,True
119,N854BB,B757-200,Spirit Airlines,FLEET-009,2013-06-19,Boeing,32477,BOS,True
120,N920AS,A330-300,United Airlines,FLEET-004,2011-04-26,Airbus,4794,JFK,True
121,N246BI,A320-200,JetBlue Airways,FLEET-006,2016-10-13,Airbus,11573,MIA,True
122,N510CS,A321-200,Delta Air Lines,FLEET-016,2013-05-12,Airbus,54366,DFW,True
123,N178HD,B777-200,Frontier Airlines,FLEET-003,2019-04-14,Boeing,8662,BOS,True
124,N497HY,B747-400F,Frontier Airlines,FLEET-020,2020-03-16,Boeing,7489,BOS,True
125,N324NJ,B777-200,JetBlue Airways,FLEET-019,2010-05-05,Boeing,3960,MSP,True
126,N346UG,B737-900,Frontier Airlines,FLEET-007,2014-03-24,Boeing,19352,JFK,True
127,N541RC,B767-300,United Airlines,FLEET-006,2015-08-01,Boeing,50520,ORD,True
128,N956JB,B747-400F,JetBlue Airways,FLEET-016,2018-11-15,Boeing,55429,LAX,True
129,N672VH,A330-300,FedEx Express,FLEET-003,2012-07-04,Airbus,24495,JFK,True
130,N785DR,B767-300,Frontier Airlines,FLEET-014,2020-09-01,Boeing,12693,LAX,True
131,N814BF,B757-200,FedEx Express,FLEET-003,2011-11-17,Boeing,30341,JFK,True
132,N531DO,B777-200,Frontier Airlines,FLEET-015,2010-01-28,Boeing,18762,JFK,True
133,N698PO,MD-11F,FedEx Express,FLEET-018,2012-04-22,Boeing,33922,ATL,True
134,N107IA,A320-200,Alaska Airlines,FLEET-020,2019-11-22,Airbus,34785,ATL,True
135,N481YV,B747-400F,Frontier Airlines,FLEET-001,2019-11-15,Boeing,56051,JFK,True
136,N398UO,A330-300,United Airlines,FLEET-017,2018-03-10,Airbus,56737,JFK,True
137,N862CP,A321-200,Frontier Airlines,FLEET-016,2010-11-24,Airbus,48220,SEA,True
138,N499KN,B737-900,UPS Airlines,FLEET-006,2020-08-26,Boeing,56406,MIA,True
139,N445OC,MD-11F,Alaska Airlines,FLEET-002,2011-07-05,Boeing,41611,SEA,True
140,N448AV,A321-200,Delta Air Lines,FLEET-017,2012-05-06,Airbus,5535,BOS,True
141,N211LT,B767-300,American Airlines,FLEET-017,2010-08-06,Boeing,39427,MIA,True
142,N221RE,B767-300,American Airlines,FLEET-009,2011-01-04,Boeing,9042,JFK,True
143,N566UT,B737-900,JetBlue Airways,FLEET-001,2010-08-25,Boeing,54299,LAX,True
144,N269RN,MD-11F,FedEx Express,FLEET-001,2018-08-27,Boeing,25013,ATL,True
145,N265UE,A330-300,Delta Air Lines,FLEET-004,2013-12-25,Airbus,40821,MIA,False
146,N169NP,MD-11F,FedEx Express,FLEET-009,2019-09-01,Boeing,18885,MIA,True
147,N777GT,B757-200,Spirit Airlines,FLEET-013,2013-07-18,Boeing,50698,BOS,True
148,N308YZ,B737-900,United Airlines,FLEET-009,2019-05-05,Boeing,2346,DEN,True
149,N638JX,B777-200,Spirit Airlines,FLEET-001,2012-08-02,Boeing,48437,JFK,True
150,N886OR,A330-300,Frontier Airlines,FLEET-005,2018-06-23,Airbus,18050,MIA,True
151,N405OK,MD-11F,Spirit Airlines,FLEET-013,2014-10-06,Boeing,10786,LAX,False
152,N109HY,B747-400F,Southwest Airlines,FLEET-013,2010-09-08,Boeing,53386,DEN,True
153,N462VZ,A321-200,JetBlue Airways,FLEET-013,2017-01-24,Airbus,42998,ORD,True
154,N454SK,B757-200,American Airlines,FLEET-017,2016-12-24,Boeing,35628,ATL,True
155,N666OA,B737-900,JetBlue Airways,FLEET-017,2016-02-07,Boeing,19010,ORD,True
156,N296ZI,B737-900,United Airlines,FLEET-016,2017-03-01,Boeing,25048,SEA,True
157,N797VR,B737-900,Alaska Airlines,FLEET-011,2010-11-19,Boeing,7537,DEN,False
158,N167TC,MD-11F,JetBlue Airways,FLEET-002,2010-08-08,Boeing,30149,LAX,True
159,N531ND,B767-300,FedEx Express,FLEET-003,2015-11-18,Boeing,43407,ATL,True
160,N141KZ,B737-800,FedEx Express,FLEET-002,2013-08-29,Boeing,29635,DFW,True
161,N310HQ,A321-200,UPS Airlines,FLEET-005,2011-08-26,Airbus,13530,DEN,True
162,N891CT,B757-200,United Airlines,FLEET-006,2016-05-08,Boeing,33577,DEN,True
163,N368EH,A330-300,Southwest Airlines,FLEET-019,2015-10-02,Airbus,47319,MIA,True
164,N713ZO,B777-200,JetBlue Airways,FLEET-001,2011-09-18,Boeing,15963,JFK,True
165,N934LS,B737-900,United Airlines,FLEET-015,2020-11-10,Boeing,9453,JFK,True
166,N385JG,B777-200,Alaska Airlines,FLEET-015,2019-02-15,Boeing,14358,DEN,True
167,N373SL,B767-300,Delta Air Lines,FLEET-013,2019-12-11,Boeing,2952,MSP,True
168,N600IA,B737-800,FedEx Express,FLEET-013,2017-08-10,Boeing,58874,MSP,True
169,N267JY,B747-400F,American Airlines,FLEET-016,2017-03-11,Boeing,12853,LAX,True
170,N242TI,B767-300,UPS Airlines,FLEET-007,2011-04-15,Boeing,31559,ORD,True
171,N444BS,B777-200,American Airlines,FLEET-015,2020-08-11,Boeing,29872,SEA,True
172,N121XN,B777-200,Delta Air Lines,FLEET-011,2014-09-12,Boeing,34235,ORD,True
173,N118QI,A320-200,Spirit Airlines,FLEET-017,2017-06-02,Airbus,56017,ORD,True
174,N215ZD,B777-200,JetBlue Airways,FLEET-011,2015-07-24,Boeing,10733,MIA,False
175,N538ZR,B767-300,United Airlines,FLEET-013,2019-10-25,Boeing,31405,SEA,True
176,N852RD,B737-800,Alaska Airlines,FLEET-009,2014-04-12,Boeing,16009,MIA,True
177,N936UL,B747-400F,FedEx Express,FLEET-013,2016-05-03,Boeing,29233,ATL,True
178,N514RK,B737-800,JetBlue Airways,FLEET-020,2010-05-03,Boeing,19694,MSP,True
179,N758UN,A330-300,Delta Air Lines,FLEET-010,2012-04-14,Airbus,52879,ATL,True
180,N486DD,B777-200,American Airlines,FLEET-016,2011-10-08,Boeing,41737,LAX,True
181,N521LV,A321-200,United Airlines,FLEET-015,2010-09-26,Airbus,49141,BOS,True
182,N492PT,A321-200,United Airlines,FLEET-004,2011-06-09,Airbus,48150,DEN,False
183,N993GO,B737-800,FedEx Express,FLEET-012,2019-08-30,Boeing,45625,MIA,False
184,N590RU,B737-900,UPS Airlines,FLEET-012,2010-03-02,Boeing,29899,SEA,True
185,N145OC,B767-300,FedEx Express,FLEET-004,2012-03-25,Boeing,47862,LAX,True
186,N343ZK,B737-800,Frontier Airlines,FLEET-002,2018-07-08,Boeing,24995,LAX,False
187,N130YR,B767-300,Frontier Airlines,FLEET-003,2011-12-03,Boeing,29770,LAX,True
188,N114ZT,A320-200,Southwest Airlines,FLEET-005,2012-09-04,Airbus,26790,DFW,True
189,N248IZ,B757-200,United Airlines,FLEET-018,2018-08-22,Boeing,10700,ORD,True
190,N397LZ,B757-200,American Airlines,FLEET-001,2016-03-17,Boeing,3040,LAX,True
191,N197BE,B757-200,American Airlines,FLEET-009,2010-06-06,Boeing,4752,DEN,True
192,N497YL,A330-300,Delta Air Lines,FLEET-015,2018-05-02,Airbus,10809,BOS,True
193,N341TB,MD-11F,JetBlue Airways,FLEET-008,2011-05-13,Boeing,57997,BOS,True
194,N236MN,B737-800,American Airlines,FLEET-016,2018-11-15,Boeing,28286,ATL,True
195,N722KT,B737-900,JetBlue Airways,FLEET-003,2010-03-31,Boeing,33528,ORD,True
196,N926RW,B747-400F,FedEx Express,FLEET-019,2017-12-13,Boeing,48884,SEA,True
197,N727OQ,MD-11F,Frontier Airlines,FLEET-010,2015-11-08,Boeing,5396,MSP,True
198,N116NO,MD-11F,Delta Air Lines,FLEET-007,2012-10-24,Boeing,50950,LAX,True
199,N179XD,A321-200,JetBlue Airways,FLEET-014,2011-07-10,Airbus,16210,SEA,True
200,N990VP,A320-200,FedEx Express,FLEET-005,2017-01-18,Airbus,15043,ATL,True
201,N557DX,B737-900,Delta Air Lines,FLEET-014,2015-08-20,Boeing,52184,SEA,True
202,N560RR,B737-800,Spirit Airlines,FLEET-019,2012-10-04,Boeing,3283,SEA,True
203,N862XB,A320-200,Alaska Airlines,FLEET-014,2012-05-19,Airbus,39219,JFK,True
204,N120QG,B737-900,UPS Airlines,FLEET-019,2017-03-27,Boeing,56804,ORD,True
205,N337RL,B737-900,Southwest Airlines,FLEET-012,2010-07-15,Boeing,34256,ATL,True
206,N352RY,B767-300,Frontier Airlines,FLEET-014,2014-07-15,Boeing,3047,MSP,True
207,N139VW,B737-800,Spirit Airlines,FLEET-020,2010-09-19,Boeing,54861,JFK,True
208,N307LA,B777-200,FedEx Express,FLEET-011,2020-10-05,Boeing,25560,ORD,True
209,N475EX,A321-200,Frontier Airlines,FLEET-003,2020-08-22,Airbus,29601,DFW,True
210,N684NO,B767-300,Spirit Airlines,FLEET-013,2016-07-23,Boeing,18595,SEA,True
211,N441TC,A320-200,FedEx Express,FLEET-019,2017-07-17,Airbus,43855,DFW,True
212,N365IO,B737-800,Frontier Airlines,FLEET-003,2010-01-24,Boeing,44279,DEN,True
213,N522GY,A321-200,JetBlue Airways,FLEET-009,2013-08-02,Airbus,46275,BOS,True
214,N219VV,B737-900,Alaska Airlines,FLEET-010,2013-04-10,Boeing,44426,MSP,True
215,N810MT,B737-800,FedEx Express,FLEET-008,2012-02-17,Boeing,4331,DFW,True
216,N564YI,B767-300,FedEx Express,FLEET-005,2018-02-11,Boeing,38028,JFK,True
217,N259FE,A330-300,American Airlines,FLEET-014,2011-07-07,Airbus,19378,DEN,True
218,N393VZ,MD-11F,Southwest Airlines,FLEET-018,2019-01-02,Boeing,13041,SEA,True
219,N552OC,A321-200,American Airlines,FLEET-001,2012-04-02,Airbus,53881,SEA,True
220,N170JD,A321-200,Frontier Airlines,FLEET-014,2014-03-29,Airbus,56469,DEN,True
221,N126OW,B757-200,UPS Airlines,FLEET-020,2012-11-10,Boeing,17556,SEA,True
222,N288SM,B767-300,Delta Air Lines,FLEET-014,2017-07-29,Boeing,42093,BOS,True
223,N639KY,A320-200,FedEx Express,FLEET-008,2019-07-28,Airbus,56754,ORD,True
224,N408GY,MD-11F,Delta Air Lines,FLEET-017,2010-10-19,Boeing,23840,SEA,True
225,N731EI,B767-300,United Airlines,FLEET-004,2019-01-27,Boeing,25733,LAX,True
226,N102YU,B737-900,United Airlines,FLEET-006,2018-06-06,Boeing,44924,MIA,True
227,N975VS,B747-400F,Frontier Airlines,FLEET-015,2020-01-15,Boeing,37809,MSP,True
228,N934CP,B757-200,UPS Airlines,FLEET-015,2012-04-16,Boeing,59605,MIA,True
229,N223LQ,B747-400F,FedEx Express,FLEET-002,2020-08-06,Boeing,48707,ATL,True
230,N828LJ,B737-800,JetBlue Airways,FLEET-002,2014-12-31,Boeing,38378,ATL,True
231,N646QM,B747-400F,Delta Air Lines,FLEET-020,2019-04-08,Boeing,29920,MIA,True
232,N283UG,A330-300,American Airlines,FLEET-019,2016-03-17,Airbus,56269,SEA,True
233,N395OD,B757-200,Spirit Airlines,FLEET-002,2017-01-29,Boeing,7450,SEA,False
234,N252BH,MD-11F,Delta Air Lines,FLEET-006,2017-05-21,Boeing,20247,MIA,False
235,N606FL,MD-11F,Spirit Airlines,FLEET-020,2014-01-19,Boeing,30850,SEA,True
236,N576VT,A321-200,Alaska Airlines,FLEET-011,2017-07-15,Airbus,20140,DFW,True
237,N405DR,B737-900,UPS Airlines,FLEET-011,2017-03-20,Boeing,22847,DEN,True
238,N440CS,B757-200,Frontier Airlines,FLEET-011,2010-04-28,Boeing,15505,ORD,True
239,N301TW,A321-200,FedEx Express,FLEET-005,2014-06-05,Airbus,12239,ATL,True
240,N515VW,A320-200,Alaska Airlines,FLEET-005,2014-03-15,Airbus,28375,BOS,True
241,N734AL,MD-11F,Alaska Airlines,FLEET-012,2016-02-16,Boeing,17849,JFK,True
242,N835GH,A320-200,Southwest Airlines,FLEET-016,2016-03-25,Airbus,45624,ORD,True
243,N970YR,B737-900,FedEx Express,FLEET-017,2020-05-05,Boeing,5251,BOS,True
244,N939TM,B747-400F,UPS Airlines,FLEET-005,2016-04-22,Boeing,41137,ORD,True
245,N546BN,B757-200,Frontier Airlines,FLEET-015,2011-02-02,Boeing,55647,SEA,True
246,N581JY,A330-300,Southwest Airlines,FLEET-020,2018-11-21,Airbus,33968,MIA,True
247,N817GL,B777-200,Southwest Airlines,FLEET-016,2012-10-15,Boeing,22582,MSP,False
248,N143QQ,B777-200,JetBlue Airways,FLEET-013,2016-04-15,Boeing,56932,DEN,False
249,N312IB,B747-400F,Southwest Airlines,FLEET-005,2014-12-27,Boeing,37025,MIA,True
